,distance fire to element [m],heat release [MJ],temperature fire [K]
207,8.039999999999992,1879200000000.0002,1473.15
208,8.759999999999991,1879200000000.0002,1473.15
209,9.240000000000009,1879200000000.0002,1438.4385520898013
210,9.599999999999994,1860408000000.0002,1402.1687145310107
211,9.960000000000008,1841616000000.0002,1367.982340376082
212,10.319999999999993,1822824000000.0002,1335.6856748232822
213,10.680000000000007,1804032000000.0005,1305.1089305181622
214,11.039999999999992,1785240000000.0002,1276.10262866303
215,11.400000000000006,1766448000000.0005,1248.5345973551348
216,11.759999999999991,1747656000000.0,1222.2874924649327
217,12.120000000000005,1728864000000.0002,1197.2567371704074
218,12.480000000000004,1710072000000.0,1173.3487993330677
219,12.840000000000003,1691280000000.0,1150.4797433412716
220,13.200000000000003,1672488000000.0002,1128.5740063477442
221,13.560000000000002,1653696000000.0,1107.563359056856
222,13.920000000000002,1634904000000.0002,1087.3860191447206
223,14.280000000000001,1616112000000.0,1067.985891584351
224,14.64,1597320000000.0002,1049.311915013682
225,15.0,1578528000000.0,1031.3174971344451
226,15.36,1559736000000.0002,1013.9600251954558
227,15.719999999999999,1540944000000.0,997.2004400691254
228,16.08,1522152000000.0,981.0028644074762
229,16.439999999999998,1503360000000.0,965.3342769649954
230,16.80000000000001,1484568000000.0002,950.1642264785955
231,17.159999999999997,1465776000000.0,935.4645795603233
232,17.52000000000001,1446984000000.0002,921.2092979336134
233,17.879999999999995,1428192000000.0,907.3742410659729
234,18.24000000000001,1409400000000.0002,893.9369908491915
235,18.599999999999994,1390608000000.0002,880.8766954758653
236,18.960000000000008,1371816000000.0002,868.1739300765519
237,19.319999999999993,1353024000000.0002,855.8105720302008
238,19.680000000000007,1334232000000.0,843.7696891534154
239,20.039999999999992,1315440000000.0,832.0354392213613
240,20.400000000000006,1296648000000.0002,820.5929794824149
241,20.75999999999999,1277856000000.0002,809.4283850064512
242,21.120000000000005,1259064000000.0002,798.5285748580721
243,21.480000000000004,1240272000000.0002,787.8812452154626
244,21.840000000000003,1221480000000.0002,777.4748086663515
245,22.200000000000003,1202688000000.0002,767.2983390077356
246,22.560000000000002,1183896000000.0002,757.3415209579541
247,22.92,1165104000000.0002,747.5946042604048
248,23.28,1146312000000.0002,738.0483617193529
249,23.639999999999986,1127520000000.0002,728.6940507612748
250,24.0,1108728000000.0002,719.5233781611994
251,24.360000000000014,1089936000000.0002,710.5284676135368
252,24.72,1071144000000.0004,701.7018298617368
253,25.079999999999984,1052352000000.0002,693.0363351315273
254,25.439999999999998,1033560000000.0005,684.5251876390187
255,25.80000000000001,1014768000000.0005,676.1619019681233
256,26.159999999999997,995976000000.0004,667.9402811319692
257,26.52000000000001,977184000000.0004,659.8543961506377
258,26.879999999999995,958392000000.0002,651.8985669929251
259,27.24000000000001,939600000000.0002,644.06734474316
260,27.599999999999994,920808000000.0004,636.3554948656636
261,27.960000000000008,902016000000.0002,628.7579814493076
